名称,达成条件,备注,大致时间范围（非强制）
孕育,精子与卵子结合形成受精卵,生命在母体内开始发育的生物学起点,胎中0个月
生命萌芽,从母体分娩而出，开始独立呼吸,脱离母体，建立独立生命体征,出生时
自主行为,能表达基本意愿并尝试独立完成简单事务,如穿衣、进食等初步自理能力,3-6岁
语言交流,能使用母语进行基本沟通,口头表达需求与简单叙事能力,2-4岁
基础读写,掌握所在社会通用文字的基本读写能力,能阅读简单文本、书写姓名与句子,6-8岁
正式教育参与,进入所在国家或地区的义务教育体系,开始接受制度化学校教育,5-7岁
青春期,身体出现第二性征发育,生理上向成年过渡的自然过程,10-14岁
成年身份,被法律或文化承认为成年人,获得投票、签约、独立决策等权利,18岁左右
独立生活,能在经济或生活上不依赖原生家庭,自主安排居住、饮食、工作等,18-25岁
生命延续,通过生育或养育后代参与种群延续,个体选择之一，非强制路径,20-40岁
衰老感知,身体机能逐渐下降，意识到时间流逝,如视力减退、体力减弱等,50岁以后
记忆沉淀,对一生经历有系统性回顾与整理意愿,常表现为书写、讲述、归档,60岁以后
生命终结,生理功能永久停止,所有人均将经历的最终阶段,因人而异
